fs_Hz,db_floor_db,metric_uV_per_V,num_tones
10000.0,60.0,1419.8984153843815,13
10000.0,70.0,1356.5592810327983,14
10000.0,80.0,1314.1914522322772,28
10000.0,90.0,1359.6215562722675,42
10000.0,100.0,1359.6215562722675,42
50000.0,60.0,956.6152829143231,13
50000.0,70.0,803.5204601853408,15
50000.0,80.0,524.4443775495116,41
50000.0,90.0,410.8444091064924,186
50000.0,100.0,422.2391740123921,206
100000.0,60.0,953.8822670068326,13
100000.0,70.0,799.7400838756528,15
100000.0,80.0,496.87981445392506,43
100000.0,90.0,304.8337027144973,144
100000.0,100.0,302.5195209213864,411
500000.0,60.0,952.9668961159026,13
500000.0,70.0,798.4731543603007,15
500000.0,80.0,479.7919184186427,45
500000.0,90.0,270.44766775772854,143
500000.0,100.0,158.86540107052883,459
1000000.0,60.0,952.9375090658131,13
1000000.0,70.0,766.0814579480838,16
1000000.0,80.0,479.58407341036775,45
1000000.0,90.0,269.2639822104342,143
1000000.0,100.0,153.01101641055516,454
5000000.0,60.0,952.9280709194766,13
5000000.0,70.0,766.0669000021513,16
5000000.0,80.0,474.24633549283146,46
5000000.0,90.0,268.8828880955221,143
5000000.0,100.0,150.86091947548627,454
10000000.0,60.0,952.9277762466221,13
10000000.0,70.0,766.0664454797277,16
10000000.0,80.0,474.2441802371439,46
10000000.0,90.0,268.8709824247212,143
10000000.0,100.0,150.79337152103727,454
100000000.0,60.0,952.9276797657723,13
100000000.0,70.0,766.0662966614165,16
100000000.0,80.0,474.2434745684999,46
100000000.0,90.0,268.8670842111647,143
100000000.0,100.0,150.77124959680881,454
